Datum;    èas; min; Q;  è; typ; skv;  l;  b;   plo; pol; CV; SN;  RB
01.11.1943; 09; 35; 0; 00; ***; 004; 000; 00;    0;   0;  0;  4;   0
01.11.1943; 09; 35; 0; 00; ***; 000; 000; 00;    0;   0;  0;  0;   0
02.11.1943; 09; 47; 0; 00; ***; 003; 000; 00;    0;   0;  0;  3;   0
02.11.1943; 09; 47; 0; 00; ***; 000; 000; 00;    0;   0;  0;  0;   0
03.11.1943; 09; 55; 0; 00; ***; 003; 000; 00;    0;   0;  0;  3;   0
03.11.1943; 09; 55; 0; 00; ***; 000; 000; 00;    0;   0;  0;  0;   0
16.11.1943; 10; 00; 0; 00; ***; 006; 253; 04;    0;   0;  0;  6;   0
16.11.1943; 10; 00; 0; 00; ***; 000; 253; 04;    0;   0;  0;  0;   0
16.11.1943; 10; 00; 0; 00; ***; 000; 253; 04;    0;   0;  0;  0;   0
04.12.1943; 10; 45; 0; 00; ***; 011; 360; 00;    0;   0;  0; 11;   0
06.12.1943; 11; 42; 0; 00; ***; 003; 000; 00;    0;   0;  0;  3;   0
06.12.1943; 11; 42; 0; 00; ***; 000; 000; 00;    0;   0;  0;  0;   0
11.12.1943; 11; 40; 0; 00; ***; 006; 312; 00;    0;   0;  0;  6;   0
19.12.1943; 13; 35; 0; 00; ***; 003; 100;-02;    0;   0;  0;  3;   0
24.01.1944; 10; 20; 0; 00; ***; 001; 360; 00;    0;   0;  0;  1;   0
25.01.1944; 10; 10; 0; 00; ***; 001; 360; 00;    0;   0;  0;  1;   0
26.01.1944; 10; 00; 0; 00; ***; 001; 000; 00;    0;   0;  0;  1;   0
01.02.1944; 10; 05; 0; 00; ***; 001; 360; 00;    0;   0;  0;  1;   0
05.02.1944; 16; 05; 0; 00; 1; 000; 274;-09;    0;   0;  0;  0;   0
25.03.1944; 11; 00; 0; 01; Cai; 008; 000; 00;   92;  83;  9; 16;  64
28.03.1944; 12; 05; 0; 01; Axx; 001; 347;-01;   15;  66;  1;  1;   4
28.03.1944; 12; 05; 0; 02; Dso; 007; 347;-01;   61; 268; 25; 24; 126
28.05.1944; 09; 00; 0; 01; Axx; 004; 178;-02;   61;  31;  1;  4;  16
29.05.1944; 09; 00; 0; 02; Axx; 001; 152;-02;   15;   8;  1;  1;   4
29.05.1944; 09; 00; 0; 03; Bxo; 005; 152;-02;   76;  39;  2;  5;  20
