X,Y,FLUX,BACKGROUND
3898.4302,1495.7749,224.93852,6.57106
2686.445,1819.1245,218.40369,7.1368866
2199.7554,3172.1392,205.01305,5.648575
3514.1216,2694.9548,154.22704,6.6790924
4653.664,2783.64,134.91508,5.674759
4237.5044,758.1602,127.47862,6.9374084
729.2517,3707.8096,120.249146,6.399948
1021.76984,383.68365,112.64186,4.9303894
4118.9614,1737.5177,150.7269,6.414261
2012.5613,2573.8655,142.2119,6.0434113
2881.2754,2445.953,138.7374,7.4449463
1855.9216,1057.2299,119.9286,6.548424
5412.9717,961.41315,97.94817,5.7945786
361.1394,2048.1353,92.173874,5.241417
665.80414,99.37812,87.33922,4.2843323
4859.24,3292.2625,61.418564,5.8510284
2939.1875,1734.773,145.68767,6.9507446
2080.8645,1706.0842,113.46967,6.374733
3410.0876,2477.5576,111.174255,7.132538
2300.0925,2312.634,85.80874,7.032753
565.1447,2966.5325,85.2872,5.3469467
4356.87,686.20715,82.05474,6.6043777
1079.3435,1168.4365,70.74765,5.2177505
4460.3833,2353.7417,58.79161,6.0180283
3656.766,655.984,109.00615,6.582733
3350.7554,2498.91,102.888245,7.0750656
1834.0079,257.9255,82.49063,4.6126556
1897.8774,3007.6567,70.84239,5.513611
656.98035,1913.8193,65.59977,5.2463913
304.23087,955.21655,63.81518,4.731182
5545.9526,2118.863,56.365356,5.793335
5009.376,434.5966,44.56192,4.6884155
3696.055,1660.4344,90.478,6.569008
3538.119,2776.8052,81.59186,6.549141
1476.9803,1634.8094,68.2116,5.6903687
1574.2675,2639.9775,61.671402,6.285431
623.04333,3258.877,60.90187,5.3835144
1379.4169,1656.1641,56.26117,5.5781784
4453.6636,3381.6213,50.626194,6.0954933
5341.1055,807.09845,36.257114,5.699093
3988.7664,3083.6997,78.017784,6.651413
3972.125,733.86414,64.48102,6.918701
1711.6868,1011.0207,64.79913,6.3107758
1099.0741,1980.1362,58.912785,5.8350487
1663.725,3025.6284,57.799606,5.58622
1161.0875,1115.5148,47.992767,5.377365
5542.102,2705.7952,44.048264,5.334423
5375.012,159.02585,36.254158,4.063778
3102.7686,3361.4656,73.05454,6.884529
3475.0618,544.5015,64.26658,6.414215
2216.1208,2842.2761,55.647312,5.4836273
1865.7495,530.7379,51.83493,5.225113
305.4613,2733.996,49.16091,5.283272
5127.2534,2751.2305,39.96246,5.3092346
424.83475,1460.425,37.9797,4.6261177
4811.842,1033.8431,32.45171,6.372532
3695.7498,1253.4269,63.899284,6.5011597
3334.0154,2621.3938,55.119972,6.8298798
2249.7126,3400.0586,52.870457,5.7391357
2343.5522,1462.8152,46.4039,6.418438
1329.4236,2199.5376,43.387592,6.1952286
5470.944,2125.0188,38.943047,5.8044586
135.99304,548.6941,34.810616,4.421036
5291.0117,1119.9025,28.66046,5.862005
4016.8342,3498.618,52.860176,7.2047462
3232.1716,1521.5176,44.094597,6.6306763
2693.7844,1536.0999,42.710346,6.699665
2143.3176,1967.8245,42.01677,6.7440834
1155.438,3372.4463,41.85948,5.4998474
4626.891,2219.8718,36.57026,5.9870987
106.07379,665.88354,32.6932,4.4258423
