X,Y,FLUX,BACKGROUND
2028.2747,3084.4119,222.94545,23.909805
3735.5,1417.5,219.56937,23.609085
2522.254,1734.5139,219.26456,24.0271
3343.5,2611.5,166.93433,25.746231
4475.5,2703.5,135.84804,24.677612
549.6235,3612.565,113.86859,22.220856
5237.5,891.5,112.24613,20.70382
854.21796,285.23392,111.99053,18.054207
2535.1758,1689.6589,181.15034,23.917953
1843.5,2485.5,173.96973,23.35141
3747.3188,1372.5516,161.30412,23.533844
3239.6191,2394.4697,119.64632,25.66603
387.5,2871.5,101.496346,20.808968
5505.5,1987.5,91.77385,23.181656
129.4103,853.9822,83.75931,17.419922
4843.5,367.5,48.35684,18.471851
2547.5,1717.5,177.39972,24.027924
2041.4869,3038.562,172.88417,23.85672
3759.5,1399.5,154.2272,23.58551
2927.8237,3273.834,118.64298,25.55935
184.57462,1951.0597,98.65282,18.68512
911.5,1073.5,79.486755,19.637833
5361.5,2043.5,70.80386,23.125069
5259.618,48.341938,45.859478,17.638523
2713.5,2361.5,159.4419,25.169312
3951.5,1659.5,148.47328,23.904099
2775.5,1651.5,136.1883,24.078674
3181.5,2415.5,110.735504,25.629913
1308.4209,1543.0803,74.36178,20.301735
4284.127,2274.1128,66.9426,24.335335
444.59164,3163.6938,65.85032,21.094086
5295.1963,1700.8995,43.213127,22.533218
2052.0066,3068.4663,148.42737,23.900574
4071.507,682.1256,132.06201,21.664856
1915.5,1617.5,119.36559,22.131721
3356.698,2567.3274,84.74057,25.758194
482.92334,1817.7618,72.20346,18.79921
4487.7046,2658.1204,61.787148,24.562126
1402.4911,2549.146,58.54361,22.973785
5252.5107,846.1459,39.414574,20.504269
1691.5,967.5,118.690346,20.787086
2131.3445,2225.6567,105.03373,23.921928
3495.5,577.5,103.95054,21.509232
3811.3994,2999.6006,78.984116,26.46251
1210.1423,1563.7963,68.066574,19.963692
927.5,1887.5,57.9786,20.208046
4683.5,3219.5,49.972855,25.602554
4812.2593,1033.9218,37.806107,21.649796
3529.5,1581.5,96.11551,23.795914
1670.8402,164.90283,96.26321,17.294853
1857.1953,2440.6436,84.75041,23.355667
3364.9573,2693.125,78.10887,25.730362
505.5,9.5,58.21473,16.380524
127.5,2637.5,52.07483,19.926292
5291.5,2053.5,50.78251,23.087997
5049.31,1352.0493,36.835556,22.01725
4191.5,611.5,93.62442,21.125076
3837.5,3411.5,72.120964,27.444756
1725.3815,2918.0981,73.75451,23.38694
1547.5,919.5,63.14424,20.40738
992.9575,1020.80255,50.559067,19.90905
