X,Y,FLUX,BACKGROUND
2187.3518,354.79266,223.71645,6.6207886
975.42487,678.1064,219.84088,7.1843567
488.78625,2031.1672,204.49023,5.7200623
1803.1545,1553.8943,159.24425,6.708359
1228.1368,593.73773,148.48308,7.045624
2942.7117,1642.6722,125.05161,5.800743
2277.7234,1942.7368,76.333984,6.7076797
3835.0164,977.78,58.862316,5.79047
301.54956,1432.9253,147.25452,5.9872284
2407.9104,596.5121,138.94244,6.4741516
1170.2375,1305.015,135.31142,7.448059
369.81552,565.1501,117.2341,6.453781
3148.1968,2151.3196,62.503773,5.963833
2305.7837,2357.596,57.79175,7.1843987
1575.4626,1003.56683,49.096985,7.3423233
3759.9646,983.92523,39.572327,5.7954445
1639.7097,1357.8337,107.42163,7.0751038
1985.1053,519.45544,98.67575,6.6315155
589.15765,1171.6133,92.78967,7.109413
186.93721,1866.6913,65.777885,5.5817337
2742.7034,2240.6414,45.35139,6.212097
3831.1753,1564.8699,42.93761,5.37949
1521.2455,380.51352,41.509228,6.65847
3509.9724,865.8596,35.05812,5.7698784
1699.1392,1336.5669,106.59228,7.117401
505.18982,1701.322,60.301003,5.547859
2749.4055,1212.8092,60.042336,6.0738754
632.5813,321.7411,45.630764,6.4948387
982.8389,395.1668,40.5606,6.7800484
3416.1943,1610.1605,37.530495,5.4057884
2351.924,2191.8567,34.864094,6.765522
3748.3582,936.7014,32.326607,5.774761
1827.1603,1635.7383,85.79556,6.6330414
1984.8048,112.37376,59.433083,6.5154343
538.7697,2259.1323,51.69486,5.8405266
807.9394,441.95886,42.692566,6.7886963
1525.1271,979.0617,40.522728,7.3362007
3243.1467,2560.8594,34.188446,7.184593
2015.0616,1971.0978,34.01515,7.021824
3491.9167,1246.9714,31.260525,5.8108406
1391.7166,2220.4714,68.85034,7.017578
432.18298,826.90326,40.28296,6.789551
576.00977,1715.934,38.929077,5.6452255
2915.8374,1078.9568,36.437775,6.0672417
3071.909,2601.6243,33.927338,7.2298203
2489.2322,1904.7368,33.963425,6.35268
1351.0466,435.00467,33.728672,6.789871
3198.0735,797.65735,30.362001,5.9819965
1623.0765,1480.3469,51.88669,6.8009987
644.28784,606.7162,38.263332,6.827011
292.77896,1485.0988,36.16899,5.83477
3739.118,1635.0603,34.072037,5.2753563
1971.1898,1038.9602,33.9048,7.1477966
1953.1799,2148.9712,33.405502,7.2651634
3173.6865,1197.941,28.315948,5.885708
1533.5435,1034.9552,25.156544,7.3638077
2086.9817,524.98486,34.018593,6.583374
205.55641,2155.4438,33.175022,5.5535088
2042.1561,1395.9784,31.918,7.018608
3284.864,1985.0607,32.127026,5.732052
935.65546,188.0874,31.870861,6.331436
1380.9955,1417.1578,30.894348,7.1443863
3724.8745,249.08264,25.389389,5.7732925
