X,Y,FLUX,BACKGROUND
2187.3518,354.79266,223.71645,6.6207886
975.42487,678.1064,219.84088,7.1843567
488.78625,2031.1672,204.49023,5.7200623
1803.1545,1553.8943,159.24425,6.708359
1228.1368,593.73773,148.48308,7.045624
2942.7117,1642.6722,125.05161,5.800743
2277.7234,1942.7368,76.333984,6.7076797
3835.0164,977.78,58.862316,5.79047
301.54956,1432.9253,147.25452,5.9872284
2407.9104,596.5121,138.94244,6.4741516
1170.2375,1305.015,135.31142,7.448059
369.81552,565.1501,117.2341,6.453781
3148.1968,2151.3196,62.503773,5.963833
2305.7837,2357.596,57.79175,7.1843987
1575.4626,1003.56683,49.096985,7.3423233
3759.9646,983.92523,39.572327,5.7954445
1639.7097,1357.8337,107.42163,7.0751038
1985.1053,519.45544,98.67575,6.6315155
589.15765,1171.6133,92.78967,7.109413
